
2025-02-14 14:57:12,Modal Auxiliaries,Hard,33.89%
2025-02-05 07:34:39,Word definition criteria,Easy,24.38%
2025-01-27 06:36:21,Present Tense: Definition & Structure,Hard,35.24%
2025-03-27 10:41:55,Noun: Definition & types,Hard,28.73%
2025-02-25 17:11:05,Present Tense: Definition & Structure,Easy,21.11%
2025-03-19 12:26:07,Parts of Speech Overview,Medium,15.52%
2025-03-21 15:28:35,Noun: Definition & types,Easy,25.45%
2025-02-10 06:13:11,Present Tense: Definition & Structure,Medium,17.76%
2025-01-29 17:01:52,Present Tense: Definition & Structure,Medium,8.22%
2025-03-21 19:45:54,Parts of Speech Overview,Medium,2.78%
2025-03-29 07:53:32,Present Tense: Definition & Structure,Easy,14.42%
2025-02-07 10:59:26,Parts of Speech Overview,Easy,25.10%
2025-02-23 13:28:02,Parts of Speech Overview,Medium,32.20%
2025-03-13 20:00:04,Word definition criteria,Easy,46.88%
2025-02-28 06:15:45,Parts of Speech Overview,Hard,36.88%
2025-02-23 22:06:22,Noun: Definition & types,Hard,48.57%
2025-01-08 14:55:24,Modal Auxiliaries,Easy,40.95%
2025-03-11 04:05:00,Present Tense: Definition & Structure,Hard,47.47%
2025-01-18 22:42:05,Word definition criteria,Easy,55.43%
2025-03-21 19:33:41,Word definition criteria,Easy,48.05%
2025-01-07 05:08:51,Noun: Definition & types,Easy,42.80%
2025-01-20 23:24:37,Present Tense: Definition & Structure,Medium,56.49%
2025-02-04 12:18:26,Present Tense: Definition & Structure,Hard,62.33%
2025-03-13 19:34:09,Present Tense: Definition & Structure,Medium,56.45%
2025-02-21 18:40:52,Noun: Definition & types,Hard,48.32%
2025-01-03 23:11:34,Modal Auxiliaries,Easy,62.91%
2025-01-20 10:42:33,Noun: Definition & types,Medium,74.33%
2025-03-03 16:28:19,Word definition criteria,Medium,66.41%
2025-01-08 12:40:28,Parts of Speech Overview,Easy,61.26%
2025-03-19 05:17:15,Modal Auxiliaries,Easy,67.92%
2025-02-05 20:26:26,Word definition criteria,Easy,58.81%
2025-01-18 19:00:03,Present Tense: Definition & Structure,Easy,67.65%
2025-03-25 05:47:13,Noun: Definition & types,Easy,60.89%
2025-03-03 20:00:30,Modal Auxiliaries,Medium,51.59%
2025-03-03 21:17:52,Modal Auxiliaries,Easy,44.95%
2025-01-07 21:49:58,Present Tense: Definition & Structure,Easy,35.19%
2025-03-22 02:01:15,Word definition criteria,Easy,26.28%
2025-03-27 19:51:17,Modal Auxiliaries,Easy,36.65%
2025-03-09 05:58:22,Word definition criteria,Easy,44.86%
2025-03-23 17:55:02,Modal Auxiliaries,Easy,35.65%
2025-03-23 08:54:44,Modal Auxiliaries,Easy,29.70%
2025-01-06 00:20:17,Word definition criteria,Hard,20.69%
2025-03-13 10:26:06,Present Tense: Definition & Structure,Easy,13.16%
2025-03-21 02:16:06,Present Tense: Definition & Structure,Easy,6.20%
2025-02-03 07:00:51,Parts of Speech Overview,Easy,0.67%
2025-02-18 01:44:10,Noun: Definition & types,Hard,7.88%
2025-01-31 19:09:32,Modal Auxiliaries,Easy,13.46%
2025-03-07 13:24:57,Word definition criteria,Easy,23.08%
2025-02-05 22:05:56,Parts of Speech Overview,Hard,17.85%
2025-03-29 14:48:06,Modal Auxiliaries,Hard,12.65%
2025-03-27 11:06:58,Parts of Speech Overview,Easy,19.13%
2025-01-18 22:09:22,Modal Auxiliaries,Medium,24.38%
2025-01-26 08:17:03,Noun: Definition & types,Easy,32.21%
2025-02-27 21:27:02,Noun: Definition & types,Easy,46.00%
2025-01-04 21:47:14,Present Tense: Definition & Structure,Medium,55.45%
2025-03-15 13:59:56,Modal Auxiliaries,Medium,65.65%
2025-01-03 12:44:34,Word definition criteria,Hard,72.73%
2025-03-24 21:23:49,Word definition criteria,Medium,81.80%
2025-03-04 19:39:02,Parts of Speech Overview,Easy,74.91%
2025-02-26 03:20:37,Parts of Speech Overview,Medium,84.36%
2025-01-06 10:57:45,Modal Auxiliaries,Easy,96.33%
2025-03-23 20:14:01,Noun: Definition & types,Easy,90.69%
2025-02-04 02:44:25,Present Tense: Definition & Structure,Easy,100.00%
2025-03-15 15:17:50,Present Tense: Definition & Structure,Easy,100.00%
2025-01-18 17:53:23,Noun: Definition & types,Easy,100.00%
2025-03-22 07:27:35,Modal Auxiliaries,Medium,100.00%
2025-01-13 21:16:48,Word definition criteria,Medium,91.84%
2025-02-03 13:44:37,Parts of Speech Overview,Hard,96.90%
2025-03-31 10:30:37,Present Tense: Definition & Structure,Hard,100.00%
2025-02-23 23:19:57,Word definition criteria,Medium,100.00%
2025-01-30 23:23:03,Modal Auxiliaries,Medium,93.22%
2025-02-01 06:59:51,Word definition criteria,Hard,100.00%
2025-01-09 05:34:08,Modal Auxiliaries,Easy,92.76%
2025-03-29 11:39:53,Parts of Speech Overview,Easy,83.36%
2025-01-13 14:11:31,Word definition criteria,Medium,94.27%
2025-02-10 18:32:49,Parts of Speech Overview,Medium,100.00%
2025-02-07 21:27:12,Parts of Speech Overview,Easy,93.76%
2025-03-06 16:18:09,Parts of Speech Overview,Easy,100.00%
2025-01-25 16:06:37,Present Tense: Definition & Structure,Medium,92.53%
2025-02-17 07:28:09,Word definition criteria,Easy,86.54%
2025-02-23 11:08:37,Word definition criteria,Easy,77.25%
2025-01-25 05:02:48,Word definition criteria,Easy,86.09%
2025-01-23 16:15:12,Present Tense: Definition & Structure,Easy,96.14%
2025-03-01 08:58:29,Word definition criteria,Easy,100.00%
